flight_id,origin_city_id,destination_city_id,departure_time,arrival_time,airline_id,status,ErrorText
1370019,1294,4937,10/16/2016 19:30:00,10/17/2016 08:45:00,23,New flights,
1342145,1177,152,10/17/2016 17:25:00,10/18/2016 04:25:00,3,New flights,
1342152,1177,152,10/17/2016 09:50:00,10/17/2016 20:24:00,51,New flights,
1342149,1177,152,10/17/2016 19:05:00,10/18/2016 06:25:00,2,New flights,
1342150,1177,152,10/17/2016 22:05:00,10/18/2016 11:35:00,2,New flights,
1342151,1177,152,10/17/2016 23:20:00,10/18/2016 12:55:00,2,New flights,
1342144,1177,152,10/17/2016 17:00:00,10/18/2016 04:45:00,3,New flights,
1342147,1177,152,10/17/2016 10:00:00,10/17/2016 19:50:00,2,New flights,
1342156,1192,3353,10/17/2016 07:10:00,10/17/2016 21:50:00,2,New flights,
1342159,1192,3863,10/17/2016 00:15:00,10/17/2016 12:45:00,2,New flights,
1342148,1177,152,10/17/2016 13:00:00,10/17/2016 22:50:00,2,New flights,
